Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
708082083,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544.0,1661.0,15149,111,0.4690,Chip ,Travel,4393.21,0
708083283,Blue,445,1,108,01-01-2023,Week-1,Q1,2023,3421.0,2517.0,992,21,0.7360,Swipe ,Entertainment,69.44,0
708084558,Blue,140,0,106,01-01-2023,Week-1,Q1,2023,8258.0,1771.0,1447,23,0.2140,Chip ,Bills,202.58,0
708085458,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,0.0,3940,82,0.0000,Online ,Grocery,236.40,0
708086958,Blue,320,1,106,01-01-2023,Week-1,Q1,2023,3128.0,749.0,4369,59,0.2390,Swipe ,Fuel,1004.87,1
708095133,Blue,100,0,94,01-01-2023,Week-1,Q1,2023,33304.0,1833.0,1448,29,0.0550,Swipe ,Bills,275.12,0
708098133,Blue,225,1,75,01-01-2023,Week-1,Q1,2023,2834.0,1418.0,1598,39,0.5000,Swipe ,Bills,159.80,1
708099183,Blue,400,1,75,01-01-2023,Week-1,Q1,2023,5723.0,1873.0,2732,63,0.3270,Swipe ,Grocery,409.80,0
708100533,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679.0,2277.0,4943,85,0.8500,Chip ,Food,988.60,0
708103608,Platinum,95,1,80,01-01-2023,Week-1,Q1,2023,11898.0,2517.0,15798,128,0.2120,Chip ,Grocery,3791.52,0
708104658,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,890.0,2928,48,0.6190,Swipe ,Fuel,732.00,0
708108333,Blue,485,0,86,01-01-2023,Week-1,Q1,2023,5590.0,0.0,1507,32,0.0000,Swipe ,Entertainment,150.70,0
708112008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510.0,1049.0,1661,35,0.0450,Swipe ,Grocery,465.08,0
708113208,Blue,300,1,149,01-01-2023,Week-1,Q1,2023,1688.0,0.0,4375,69,0.0000,Chip ,Fuel,525.00,0
708117933,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880.0,0.0,2469,34,0.0000,Chip ,Bills,419.73,1
708119658,Blue,340,0,44,01-01-2023,Week-1,Q1,2023,12836.0,1034.0,2519,53,0.0810,Swipe ,Bills,554.18,0
708121908,Blue,405,0,71,01-01-2023,Week-1,Q1,2023,22917.0,0.0,2045,45,0.0000,Swipe ,Grocery,265.85,0
708123033,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463.0,0.0,14511,105,0.0000,Swipe ,Fuel,3047.31,0
708125733,Blue,220,0,69,01-01-2023,Week-1,Q1,2023,1438.3,0.0,4311,77,0.0000,Swipe ,Entertainment,1207.08,0
708128733,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814.0,0.0,5014,99,0.0000,Swipe ,Entertainment,1303.64,0
708129933,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072.0,1544.0,4210,64,0.7450,Chip ,Entertainment,884.10,0
708132783,Blue,250,1,92,01-01-2023,Week-1,Q1,2023,16411.0,1179.0,3929,71,0.0720,Swipe ,Food,785.80,1
708134283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,3131.0,629.0,1483,31,0.2010,Swipe ,Food,311.43,0
708136908,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616.0,801.0,4655,68,0.3060,Swipe ,Entertainment,605.15,0
708139833,Blue,460,0,111,01-01-2023,Week-1,Q1,2023,6391.0,0.0,2323,44,0.0000,Swipe ,Grocery,441.37,0
708145908,Blue,320,0,78,01-01-2023,Week-1,Q1,2023,4906.0,2185.0,3999,71,0.4450,Swipe ,Bills,959.76,0
708147108,Blue,320,0,112,01-01-2023,Week-1,Q1,2023,21084.0,2517.0,2309,71,0.1190,Swipe ,Travel,277.08,0
708148158,Blue,175,0,73,01-01-2023,Week-1,Q1,2023,1827.0,0.0,4207,86,0.0000,Swipe ,Fuel,925.54,0
708151008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,6250.0,644.0,2433,41,0.1030,Swipe ,Fuel,486.60,0
708152358,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512.0,1664.0,8019,57,0.0900,Swipe ,Food,721.71,0
708153558,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516.0,1802.0,7936,101,0.0520,Swipe ,Fuel,634.88,0
708154833,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,811.0,2336,46,0.5640,Chip ,Fuel,630.72,0
708155733,Blue,335,0,88,01-01-2023,Week-1,Q1,2023,14734.0,1634.0,1289,23,0.1110,Swipe ,Bills,296.47,0
708158133,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031.0,2517.0,2188,50,0.8300,Swipe ,Bills,350.08,1
708160008,Blue,375,1,96,01-01-2023,Week-1,Q1,2023,34516.0,1058.0,7412,84,0.0310,Swipe ,Bills,1927.12,0
708161133,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629.0,1389.0,3891,69,0.2100,Swipe ,Fuel,466.92,0
708162558,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250.0,1992.0,1355,36,0.6130,Swipe ,Entertainment,189.70,1
708163758,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516.0,638.0,13085,139,0.0180,Swipe ,Bills,2355.30,0
708170508,Blue,250,0,72,01-01-2023,Week-1,Q1,2023,1438.3,0.0,1651,42,0.0000,Swipe ,Entertainment,462.28,0
708171858,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864.0,1081.0,2607,44,0.5800,Swipe ,Fuel,312.84,0
708173433,Blue,285,0,40,01-01-2023,Week-1,Q1,2023,5645.0,2324.0,2482,57,0.4120,Swipe ,Food,496.40,0
708174708,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535.0,1276.0,1764,38,0.2310,Swipe ,Fuel,194.04,0
708176208,Blue,465,1,89,01-01-2023,Week-1,Q1,2023,7268.0,0.0,4199,80,0.0000,Swipe ,Food,587.86,0
708177333,Silver,460,1,107,01-01-2023,Week-1,Q1,2023,11261.0,2485.0,1158,26,0.2210,Swipe ,Bills,243.18,0
708178608,Blue,300,0,111,01-01-2023,Week-1,Q1,2023,2488.0,0.0,4226,73,0.0000,Chip ,Grocery,253.56,0
708185208,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178.0,1118.0,2010,31,0.3520,Swipe ,Bills,180.90,0
708186933,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819.0,725.0,2254,45,0.3990,Swipe ,Bills,270.48,0
708190158,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920.0,2426.0,2750,41,0.8310,Swipe ,Food,632.50,0
708193008,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480.0,0.0,1616,43,0.0000,Online ,Entertainment,387.84,0
708195633,Silver,110,1,70,01-01-2023,Week-1,Q1,2023,34516.0,1182.0,2440,54,0.0340,Online ,Entertainment,488.00,0
708197358,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543.0,264.0,7784,63,0.0090,Online ,Food,622.72,1
708204033,Blue,295,0,86,01-01-2023,Week-1,Q1,2023,2980.0,2093.0,4132,70,0.7020,Chip ,Travel,826.40,1
708205083,Blue,125,1,151,01-01-2023,Week-1,Q1,2023,1438.3,0.0,4815,81,0.0000,Chip ,Travel,337.05,1
